,country,iso2,iso3,iso_numeric,g_whoregion,year,e_pop_num,e_inc_100k,e_inc_100k_lo,e_inc_100k_hi,e_inc_num,e_inc_num_lo,e_inc_num_hi,e_tbhiv_prct,e_tbhiv_prct_lo,e_tbhiv_prct_hi,e_inc_tbhiv_100k,e_inc_tbhiv_100k_lo,e_inc_tbhiv_100k_hi,e_inc_tbhiv_num,e_inc_tbhiv_num_lo,e_inc_tbhiv_num_hi,e_mort_exc_tbhiv_100k,e_mort_exc_tbhiv_100k_lo,e_mort_exc_tbhiv_100k_hi,e_mort_exc_tbhiv_num,e_mort_exc_tbhiv_num_lo,e_mort_exc_tbhiv_num_hi,e_mort_tbhiv_100k,e_mort_tbhiv_100k_lo,e_mort_tbhiv_100k_hi,e_mort_tbhiv_num,e_mort_tbhiv_num_lo,e_mort_tbhiv_num_hi,e_mort_100k,e_mort_100k_lo,e_mort_100k_hi,e_mort_num,e_mort_num_lo,e_mort_num_hi,cfr,cfr_lo,cfr_hi,cfr_pct,cfr_pct_lo,cfr_pct_hi,c_newinc_100k,c_cdr,c_cdr_lo,c_cdr_hi,Country,GenomeCount
0,Argentina,AR,ARG,32,AMR,2024,45696155,44.0,36.0,53.0,20000.0,16000.0,24000.0,6.1,,,2.7,1.5,4.3,1200.0,690.0,2000.0,1.2,1.0,1.3,530.0,470.0,590.0,0.65,0.34,1.1,300.0,160.0,480.0,1.8,1.4,2.2,830.0,660.0,1000.0,0.04,0.03,0.05,4.0,3.0,5.0,35.0,78.0,65.0,96.0,Argentina,0.0
1,Australia,AU,AUS,36,WPR,2024,26713208,6.9,5.6,8.3,1900.0,1500.0,2200.0,1.2,,,0.08,0.05,0.13,22.0,12.0,35.0,0.13,0.13,0.14,36.0,36.0,36.0,0.01,0.01,0.02,4.0,2.0,7.0,0.15,0.14,0.16,40.0,38.0,42.0,0.02,0.02,0.03,2.0,2.0,3.0,6.0,87.0,72.0,110.0,Australia,107.0
2,Belarus,BY,BLR,112,EUR,2024,9056702,17.0,14.0,20.0,1500.0,1200.0,1800.0,6.7,,,1.1,0.82,1.5,100.0,74.0,130.0,2.1,2.0,2.2,190.0,180.0,200.0,0.24,0.16,0.34,22.0,15.0,31.0,2.3,2.2,2.4,210.0,200.0,220.0,0.14,0.11,0.17,14.0,11.0,17.0,14.0,82.0,68.0,100.0,Belarus,523.0
3,Belgium,BE,BEL,56,EUR,2024,11738764,2.7,2.2,3.3,320.0,260.0,390.0,3.7,,,0.1,0.04,0.2,12.0,4.0,23.0,0.29,0.27,0.3,34.0,32.0,35.0,0.02,0.01,0.04,2.0,1.0,4.0,0.3,0.28,0.32,36.0,33.0,38.0,0.11,0.09,0.14,11.0,9.0,14.0,3.9,140.0,120.0,180.0,Belgium,3.0
4,Benin,BJ,BEN,204,AFR,2024,14462723,40.0,24.0,76.0,5800.0,3500.0,11000.0,12.0,,,4.6,1.2,10.0,670.0,180.0,1500.0,5.3,1.6,11.0,760.0,240.0,1600.0,1.4,0.47,2.8,200.0,68.0,400.0,6.6,2.7,12.0,960.0,390.0,1800.0,0.21,0.05,0.44,21.0,5.0,44.0,28.0,70.0,37.0,110.0,Benin,1.0
5,Brazil,BR,BRA,76,AMR,2024,211998579,49.0,40.0,61.0,104000.0,84000.0,129000.0,13.0,,,6.1,4.4,7.8,13000.0,9200.0,17000.0,3.3,2.8,3.9,7100.0,6000.0,8200.0,0.88,0.57,1.3,1900.0,1200.0,2800.0,4.2,3.6,4.9,9000.0,7600.0,10000.0,0.09,0.07,0.11,9.0,7.0,11.0,44.0,89.0,72.0,110.0,Brazil,16.0
6,Canada,CA,CAN,124,AMR,2024,39742434,6.2,5.0,7.5,2500.0,2000.0,3000.0,2.8,,,0.18,0.12,0.24,70.0,49.0,95.0,0.21,0.2,0.22,82.0,79.0,86.0,0.03,0.02,0.04,11.0,6.0,16.0,0.23,0.22,0.25,93.0,87.0,99.0,0.04,0.03,0.05,4.0,3.0,5.0,6.3,100.0,85.0,130.0,Canada,2024.0
7,China,CN,CHN,156,WPR,2024,1419321279,49.0,40.0,59.0,696000.0,567000.0,839000.0,1.8,,,0.89,0.66,1.2,13000.0,9300.0,16000.0,1.7,1.6,1.9,25000.0,22000.0,27000.0,0.23,0.16,0.31,3200.0,2200.0,4400.0,2.0,1.7,2.2,28000.0,24000.0,32000.0,0.04,0.03,0.05,4.0,3.0,5.0,37.0,76.0,63.0,94.0,China,1357.0
8,Colombia,CO,COL,170,AMR,2024,52886359,49.0,40.0,59.0,26000.0,21000.0,31000.0,11.0,,,5.3,3.9,6.8,2800.0,2100.0,3600.0,4.4,3.1,5.9,2300.0,1700.0,3100.0,1.2,0.78,1.6,610.0,410.0,840.0,5.6,4.2,7.1,2900.0,2200.0,3700.0,0.12,0.08,0.15,12.0,8.0,15.0,40.0,81.0,67.0,100.0,Colombia,8.0
9,Ecuador,EC,ECU,218,AMR,2024,18135477,66.0,54.0,80.0,12000.0,9800.0,14000.0,17.0,,,11.0,8.2,14.0,2000.0,1500.0,2600.0,4.0,3.1,5.0,730.0,570.0,910.0,1.7,0.95,2.6,300.0,170.0,470.0,5.7,4.7,6.8,1000.0,850.0,1200.0,0.09,0.07,0.11,9.0,7.0,11.0,52.0,78.0,65.0,96.0,Ecuador,2.0
