Country,GenomeCount
Ancient,1.0
Argentina,0.0
Australia,107.0
Belarus,512.0
Belgium,3.0
Benin,1.0
Brazil,16.0
Canada,2024.0
Chimpanzee,1.0
China,1521.0
Colombia,8.0
Ecuador,2.0
Egypt,55.0
France,9.0
Germany,14.0
Ghana,379.0
Guatemala,22.0
India,27.0
"India, Moldova, the Philippines, and South Africa.",350.0
Indonesia,6.0
Iran,23.0
Iraq,3.0
Italy,49.0
Japan,1697.0
Kazakhstan,756.0
Kenya,557.0
Korea,40.0
Lab,662.0
Malaysia,2.0
Mali,0.0
Mexico,96.0
Moldava,792.0
Moldova,1.0
Morocco,15.0
Mouse,271.0
Mozambique,17.0
Myanmar,2.0
Netherlands,15.0
New Zealand,1.0
Nigeria,2.0
Pakistan,2.0
Panama,0.0
Papua New Guinea,1.0
Peru,3.0
Philippines,38.0
Poland,1.0
Romania,2.0
Russia,96.0
Singapore,6.0
South Africa,2970.0
Sweden,1.0
Taiwan,6.0
Thailand,5.0
Tunisia,1.0
Turkey,1.0
USA,423.0
Uganda,279.0
Ukraine,1893.0
Unknown,15.0
Vietnam,783.0
Zambia,50.0
